x,y,z
15.0,0.0,0.0
-2.850568625801042,-6.518269452446421,30.246591291670192
-7.681268015702146,-3.9773538849409205,48.58747842646663
10.194207766364055,9.621294115350993,27.055225178138652
-3.6465320247009703,11.59568466665294,18.120912862086445
8.74403212680803,-6.040482694694838,14.103058393149132
2.3776195785361933,3.447471975262352,42.09227742053868
4.757271867476387,8.378478954309484,28.782062643577824
-8.349063046498202,0.8930052549735505,40.2466275867194
-4.57708467420332,-7.303031888861436,34.8825304265041
-8.696895022142469,4.546714398779839,5.1048710010332545
0.30370687438729715,-10.38026705020501,28.27922780383316
-10.166618892921695,-10.641556404307618,4.5097245143193625
